Model,Accuracy,F1_Score
Hybrid Fuzzy-XGBoost (Ours),0.8866995073891626,0.8869020838132569
Gradient Boosting,0.8620689655172413,0.8619012449285293
Random Forest,0.8522167487684729,0.8521045184993851
Decision Tree,0.812807881773399,0.8089477289831428
MLP Neural Network,0.7980295566502463,0.7938220341310871
SVM,0.7586206896551724,0.7572408047323679
K-Nearest Neighbors,0.729064039408867,0.7289232239740131
